"TIME"	"GEO"	"AGE"	"SEX"	"Value"	"Flag.and.Footnotes"	"scenario"
"370"	2040	"Finland"	"Total"	"Total"	"6,057,554"	NA	1
"371"	2045	"Finland"	"Total"	"Total"	"6,116,114"	NA	1
"372"	2050	"Finland"	"Total"	"Total"	"6,160,986"	NA	1
"373"	2055	"Finland"	"Total"	"Total"	"6,198,078"	NA	1
"374"	2060	"Finland"	"Total"	"Total"	"6,239,956"	NA	1
"375"	2065	"Finland"	"Total"	"Total"	"6,282,278"	NA	1
"376"	2070	"Finland"	"Total"	"Total"	"6,322,737"	NA	1
"377"	2075	"Finland"	"Total"	"Total"	"6,356,703"	NA	1
"378"	2080	"Finland"	"Total"	"Total"	"6,381,733"	NA	1
"379"	2015	"Sweden"	"Total"	"Total"	"9,721,642"	NA	1
"380"	2020	"Sweden"	"Total"	"Total"	"10,138,157"	NA	1
"381"	2025	"Sweden"	"Total"	"Total"	"10,581,812"	NA	1
"382"	2030	"Sweden"	"Total"	"Total"	"10,998,167"	NA	1
"383"	2035	"Sweden"	"Total"	"Total"	"11,375,308"	NA	1
"384"	2040	"Sweden"	"Total"	"Total"	"11,737,728"	NA	1
"385"	2045	"Sweden"	"Total"	"Total"	"12,099,193"	NA	1
"386"	2050	"Sweden"	"Total"	"Total"	"12,446,286"	NA	1
"387"	2055	"Sweden"	"Total"	"Total"	"12,763,042"	NA	1
"388"	2060	"Sweden"	"Total"	"Total"	"13,054,199"	NA	1
"389"	2065	"Sweden"	"Total"	"Total"	"13,326,261"	NA	1
"390"	2070	"Sweden"	"Total"	"Total"	"13,594,803"	NA	1
"391"	2075	"Sweden"	"Total"	"Total"	"13,860,883"	NA	1
"392"	2080	"Sweden"	"Total"	"Total"	"14,110,527"	NA	1
"393"	2015	"United Kingdom"	"Total"	"Total"	"64,643,370"	NA	1
"394"	2020	"United Kingdom"	"Total"	"Total"	"66,693,272"	NA	1
"395"	2025	"United Kingdom"	"Total"	"Total"	"68,650,229"	NA	1
"396"	2030	"United Kingdom"	"Total"	"Total"	"70,469,762"	NA	1
"397"	2035	"United Kingdom"	"Total"	"Total"	"72,166,552"	NA	1
"398"	2040	"United Kingdom"	"Total"	"Total"	"73,841,524"	NA	1
"399"	2045	"United Kingdom"	"Total"	"Total"	"75,540,371"	NA	1
"400"	2050	"United Kingdom"	"Total"	"Total"	"77,177,523"	NA	1
"401"	2055	"United Kingdom"	"Total"	"Total"	"78,643,341"	NA	1
"402"	2060	"United Kingdom"	"Total"	"Total"	"79,951,846"	NA	1
"403"	2065	"United Kingdom"	"Total"	"Total"	"81,218,621"	NA	1
"404"	2070	"United Kingdom"	"Total"	"Total"	"82,535,019"	NA	1
"405"	2075	"United Kingdom"	"Total"	"Total"	"83,874,433"	NA	1
"406"	2080	"United Kingdom"	"Total"	"Total"	"85,148,887"	NA	1
"407"	2015	"Iceland"	"Total"	"Total"	"328,574"	NA	1
"408"	2020	"Iceland"	"Total"	"Total"	"341,970"	NA	1
"409"	2025	"Iceland"	"Total"	"Total"	"354,586"	NA	1
"410"	2030	"Iceland"	"Total"	"Total"	"366,519"	NA	1
"411"	2035	"Iceland"	"Total"	"Total"	"377,755"	NA	1
"412"	2040	"Iceland"	"Total"	"Total"	"388,467"	NA	1
"413"	2045	"Iceland"	"Total"	"Total"	"398,777"	NA	1
"414"	2050	"Iceland"	"Total"	"Total"	"408,806"	NA	1
"415"	2055	"Iceland"	"Total"	"Total"	"418,577"	NA	1
"416"	2060	"Iceland"	"Total"	"Total"	"428,166"	NA	1
"417"	2065	"Iceland"	"Total"	"Total"	"437,867"	NA	1
"418"	2070	"Iceland"	"Total"	"Total"	"447,726"	NA	1
"419"	2075	"Iceland"	"Total"	"Total"	"457,566"	NA	1
"420"	2080	"Iceland"	"Total"	"Total"	"467,187"	NA	1
"421"	2015	"Norway"	"Total"	"Total"	"5,177,196"	NA	1
"422"	2020	"Norway"	"Total"	"Total"	"5,547,598"	NA	1
"423"	2025	"Norway"	"Total"	"Total"	"5,954,753"	NA	1
"424"	2030	"Norway"	"Total"	"Total"	"6,364,369"	NA	1
"425"	2035	"Norway"	"Total"	"Total"	"6,752,495"	NA	1
"426"	2040	"Norway"	"Total"	"Total"	"7,106,447"	NA	1
"427"	2045	"Norway"	"Total"	"Total"	"7,421,016"	NA	1
"428"	2050	"Norway"	"Total"	"Total"	"7,689,383"	NA	1
"429"	2055	"Norway"	"Total"	"Total"	"7,918,671"	NA	1
"430"	2060	"Norway"	"Total"	"Total"	"8,132,298"	NA	1
"431"	2065	"Norway"	"Total"	"Total"	"8,331,322"	NA	1
"432"	2070	"Norway"	"Total"	"Total"	"8,518,979"	NA	1
"433"	2075	"Norway"	"Total"	"Total"	"8,694,447"	NA	1
"434"	2080	"Norway"	"Total"	"Total"	"8,851,414"	NA	1
"435"	2015	"Switzerland"	"Total"	"Total"	"8,223,903"	NA	1
"436"	2020	"Switzerland"	"Total"	"Total"	"8,669,719"	NA	1
"437"	2025	"Switzerland"	"Total"	"Total"	"9,121,798"	NA	1
"438"	2030	"Switzerland"	"Total"	"Total"	"9,555,778"	NA	1
"439"	2035	"Switzerland"	"Total"	"Total"	"9,954,420"	NA	1
"440"	2040	"Switzerland"	"Total"	"Total"	"10,311,607"	NA	1
"441"	2045	"Switzerland"	"Total"	"Total"	"10,625,539"	NA	1
"442"	2050	"Switzerland"	"Total"	"Total"	"10,882,224"	NA	1
"443"	2055	"Switzerland"	"Total"	"Total"	"11,080,368"	NA	1
"444"	2060	"Switzerland"	"Total"	"Total"	"11,249,587"	NA	1
"445"	2065	"Switzerland"	"Total"	"Total"	"11,408,426"	NA	1
"446"	2070	"Switzerland"	"Total"	"Total"	"11,568,716"	NA	1
"447"	2075	"Switzerland"	"Total"	"Total"	"11,725,799"	NA	1
"448"	2080	"Switzerland"	"Total"	"Total"	"11,870,552"	NA	1
"449"	2015	"European Union (28 countries)"	"Total"	"Total"	"508,245,260"	NA	3
"450"	2020	"European Union (28 countries)"	"Total"	"Total"	"512,880,552"	NA	3
"451"	2025	"European Union (28 countries)"	"Total"	"Total"	"516,900,195"	NA	3
"452"	2030	"European Union (28 countries)"	"Total"	"Total"	"520,644,997"	NA	3
"453"	2035	"European Union (28 countries)"	"Total"	"Total"	"524,485,693"	NA	3
"454"	2040	"European Union (28 countries)"	"Total"	"Total"	"528,301,525"	NA	3
"455"	2045	"European Union (28 countries)"	"Total"	"Total"	"531,451,647"	NA	3
"456"	2050	"European Union (28 countries)"	"Total"	"Total"	"533,388,394"	NA	3
"457"	2055	"European Union (28 countries)"	"Total"	"Total"	"534,073,627"	NA	3
"458"	2060	"European Union (28 countries)"	"Total"	"Total"	"533,900,985"	NA	3
"459"	2015	"Belgium"	"Total"	"Total"	"11,337,428"	NA	3
"460"	2020	"Belgium"	"Total"	"Total"	"11,833,198"	NA	3
"461"	2025	"Belgium"	"Total"	"Total"	"12,374,413"	NA	3
"462"	2030	"Belgium"	"Total"	"Total"	"12,932,145"	NA	3
"463"	2035	"Belgium"	"Total"	"Total"	"13,488,385"	NA	3
"464"	2040	"Belgium"	"Total"	"Total"	"14,024,958"	NA	3
"465"	2045	"Belgium"	"Total"	"Total"	"14,516,498"	NA	3
"466"	2050	"Belgium"	"Total"	"Total"	"14,940,981"	NA	3
"467"	2055	"Belgium"	"Total"	"Total"	"15,307,852"	NA	3
"468"	2060	"Belgium"	"Total"	"Total"	"15,658,371"	NA	3
"469"	2015	"Bulgaria"	"Total"	"Total"	"7,200,362"	NA	3
"470"	2020	"Bulgaria"	"Total"	"Total"	"6,982,839"	NA	3
"471"	2025	"Bulgaria"	"Total"	"Total"	"6,750,809"	NA	3
"472"	2030	"Bulgaria"	"Total"	"Total"	"6,515,550"	NA	3
"473"	2035	"Bulgaria"	"Total"	"Total"	"6,314,446"	NA	3
"474"	2040	"Bulgaria"	"Total"	"Total"	"6,161,976"	NA	3
"475"	2045	"Bulgaria"	"Total"	"Total"	"6,025,241"	NA	3
"476"	2050	"Bulgaria"	"Total"	"Total"	"5,891,844"	NA	3
"477"	2055	"Bulgaria"	"Total"	"Total"	"5,760,397"	NA	3
"478"	2060	"Bulgaria"	"Total"	"Total"	"5,621,844"	NA	3
"479"	2015	"Czech Republic"	"Total"	"Total"	"10,536,506"	NA	3
"480"	2020	"Czech Republic"	"Total"	"Total"	"10,653,546"	NA	3
"481"	2025	"Czech Republic"	"Total"	"Total"	"10,750,365"	NA	3
"482"	2030	"Czech Republic"	"Total"	"Total"	"10,825,658"	NA	3
"483"	2035	"Czech Republic"	"Total"	"Total"	"10,899,725"	NA	3
"484"	2040	"Czech Republic"	"Total"	"Total"	"11,011,599"	NA	3
"485"	2045	"Czech Republic"	"Total"	"Total"	"11,143,048"	NA	3
"486"	2050	"Czech Republic"	"Total"	"Total"	"11,238,895"	NA	3
"487"	2055	"Czech Republic"	"Total"	"Total"	"11,292,997"	NA	3
"488"	2060	"Czech Republic"	"Total"	"Total"	"11,314,020"	NA	3
"489"	2015	"Denmark"	"Total"	"Total"	"5,649,819"	NA	3
"490"	2020	"Denmark"	"Total"	"Total"	"5,778,134"	NA	3
"491"	2025	"Denmark"	"Total"	"Total"	"5,928,014"	NA	3
"492"	2030	"Denmark"	"Total"	"Total"	"6,080,153"	NA	3
"493"	2035	"Denmark"	"Total"	"Total"	"6,217,176"	NA	3
"494"	2040	"Denmark"	"Total"	"Total"	"6,330,858"	NA	3
"495"	2045	"Denmark"	"Total"	"Total"	"6,424,116"	NA	3
"496"	2050	"Denmark"	"Total"	"Total"	"6,503,541"	NA	3
"497"	2055	"Denmark"	"Total"	"Total"	"6,577,975"	NA	3
"498"	2060	"Denmark"	"Total"	"Total"	"6,656,253"	NA	3
"499"	2015	"Germany (until 1990 former territory of the FRG)"	"Total"	"Total"	"80,712,772"	NA	3
"500"	2020	"Germany (until 1990 former territory of the FRG)"	"Total"	"Total"	"80,707,752"	NA	3
"501"	2025	"Germany (until 1990 former territory of the FRG)"	"Total"	"Total"	"80,525,803"	NA	3
"502"	2030	"Germany (until 1990 former territory of the FRG)"	"Total"	"Total"	"80,131,883"	NA	3
"503"	2035	"Germany (until 1990 former territory of the FRG)"	"Total"	"Total"	"79,515,958"	NA	3
"504"	2040	"Germany (until 1990 former territory of the FRG)"	"Total"	"Total"	"78,603,394"	NA	3
"505"	2045	"Germany (until 1990 former territory of the FRG)"	"Total"	"Total"	"77,431,060"	NA	3
"506"	2050	"Germany (until 1990 former territory of the FRG)"	"Total"	"Total"	"76,034,064"	NA	3
"507"	2055	"Germany (until 1990 former territory of the FRG)"	"Total"	"Total"	"74,446,326"	NA	3
"508"	2060	"Germany (until 1990 former territory of the FRG)"	"Total"	"Total"	"72,790,542"	NA	3
"509"	2015	"Estonia"	"Total"	"Total"	"1,311,571"	NA	3
"510"	2020	"Estonia"	"Total"	"Total"	"1,285,639"	NA	3
"511"	2025	"Estonia"	"Total"	"Total"	"1,250,495"	NA	3
"512"	2030	"Estonia"	"Total"	"Total"	"1,214,231"	NA	3
"513"	2035	"Estonia"	"Total"	"Total"	"1,187,728"	NA	3
"514"	2040	"Estonia"	"Total"	"Total"	"1,174,516"	NA	3
"515"	2045	"Estonia"	"Total"	"Total"	"1,163,267"	NA	3
"516"	2050	"Estonia"	"Total"	"Total"	"1,150,579"	NA	3
"517"	2055	"Estonia"	"Total"	"Total"	"1,135,719"	NA	3
"518"	2060	"Estonia"	"Total"	"Total"	"1,118,212"	NA	3
"519"	2015	"Ireland"	"Total"	"Total"	"4,602,970"	NA	3
"520"	2020	"Ireland"	"Total"	"Total"	"4,612,542"	NA	3
"521"	2025	"Ireland"	"Total"	"Total"	"4,583,136"	NA	3
"522"	2030	"Ireland"	"Total"	"Total"	"4,570,608"	NA	3
"523"	2035	"Ireland"	"Total"	"Total"	"4,612,046"	NA	3
"524"	2040	"Ireland"	"Total"	"Total"	"4,713,656"	NA	3
"525"	2045	"Ireland"	"Total"	"Total"	"4,858,610"	NA	3
"526"	2050	"Ireland"	"Total"	"Total"	"5,022,808"	NA	3
"527"	2055	"Ireland"	"Total"	"Total"	"5,181,785"	NA	3
"528"	2060	"Ireland"	"Total"	"Total"	"5,324,573"	NA	3
"529"	2015	"Greece"	"Total"	"Total"	"10,978,439"	NA	3
"530"	2020	"Greece"	"Total"	"Total"	"10,712,628"	NA	3
"531"	2025	"Greece"	"Total"	"Total"	"10,415,608"	NA	3
"532"	2030	"Greece"	"Total"	"Total"	"10,135,950"	NA	3
"533"	2035	"Greece"	"Total"	"Total"	"9,897,514"	NA	3
"534"	2040	"Greece"	"Total"	"Total"	"9,690,107"	NA	3
"535"	2045	"Greece"	"Total"	"Total"	"9,494,884"	NA	3
"536"	2050	"Greece"	"Total"	"Total"	"9,289,872"	NA	3
"537"	2055	"Greece"	"Total"	"Total"	"9,058,106"	NA	3
"538"	2060	"Greece"	"Total"	"Total"	"8,805,790"	NA	3
"539"	2015	"Spain"	"Total"	"Total"	"46,392,080"	NA	3
"540"	2020	"Spain"	"Total"	"Total"	"45,828,101"	NA	3
"541"	2025	"Spain"	"Total"	"Total"	"45,125,728"	NA	3
"542"	2030	"Spain"	"Total"	"Total"	"44,701,432"	NA	3
"543"	2035	"Spain"	"Total"	"Total"	"44,666,548"	NA	3
"544"	2040	"Spain"	"Total"	"Total"	"45,012,359"	NA	3
"545"	2045	"Spain"	"Total"	"Total"	"45,609,090"	NA	3
"546"	2050	"Spain"	"Total"	"Total"	"46,243,624"	NA	3
"547"	2055	"Spain"	"Total"	"Total"	"46,793,264"	NA	3
"548"	2060	"Spain"	"Total"	"Total"	"47,154,599"	NA	3
"549"	2015	"France"	"Total"	"Total"	"66,178,288"	NA	3
"550"	2020	"France"	"Total"	"Total"	"67,707,242"	NA	3
"551"	2025	"France"	"Total"	"Total"	"69,171,169"	NA	3
"552"	2030	"France"	"Total"	"Total"	"70,652,215"	NA	3
"553"	2035	"France"	"Total"	"Total"	"72,086,716"	NA	3
"554"	2040	"France"	"Total"	"Total"	"73,356,107"	NA	3
"555"	2045	"France"	"Total"	"Total"	"74,394,557"	NA	3
"556"	2050	"France"	"Total"	"Total"	"75,279,759"	NA	3
"557"	2055	"France"	"Total"	"Total"	"76,113,329"	NA	3
"558"	2060	"France"	"Total"	"Total"	"76,952,728"	NA	3
"559"	2015	"Croatia"	"Total"	"Total"	"4,245,210"	NA	3
"560"	2020	"Croatia"	"Total"	"Total"	"4,202,919"	NA	3
"561"	2025	"Croatia"	"Total"	"Total"	"4,156,367"	NA	3
"562"	2030	"Croatia"	"Total"	"Total"	"4,107,158"	NA	3
"563"	2035	"Croatia"	"Total"	"Total"	"4,054,962"	NA	3
"564"	2040	"Croatia"	"Total"	"Total"	"4,000,453"	NA	3
"565"	2045	"Croatia"	"Total"	"Total"	"3,946,940"	NA	3
"566"	2050	"Croatia"	"Total"	"Total"	"3,895,042"	NA	3
"567"	2055	"Croatia"	"Total"	"Total"	"3,843,246"	NA	3
"568"	2060	"Croatia"	"Total"	"Total"	"3,791,429"	NA	3
"569"	2015	"Italy"	"Total"	"Total"	"60,947,757"	NA	3
"570"	2020	"Italy"	"Total"	"Total"	"62,013,411"	NA	3
"571"	2025	"Italy"	"Total"	"Total"	"63,156,391"	NA	3
"572"	2030	"Italy"	"Total"	"Total"	"64,385,821"	NA	3
"573"	2035	"Italy"	"Total"	"Total"	"65,647,773"	NA	3
"574"	2040	"Italy"	"Total"	"Total"	"66,803,533"	NA	3
"575"	2045	"Italy"	"Total"	"Total"	"67,663,537"	NA	3
"576"	2050	"Italy"	"Total"	"Total"	"68,057,688"	NA	3
"577"	2055	"Italy"	"Total"	"Total"	"68,027,864"	NA	3
"578"	2060	"Italy"	"Total"	"Total"	"67,797,202"	NA	3
"579"	2015	"Cyprus"	"Total"	"Total"	"873,025"	NA	3
"580"	2020	"Cyprus"	"Total"	"Total"	"891,486"	NA	3
"581"	2025	"Cyprus"	"Total"	"Total"	"907,281"	NA	3
"582"	2030	"Cyprus"	"Total"	"Total"	"924,024"	NA	3
"583"	2035	"Cyprus"	"Total"	"Total"	"943,692"	NA	3
"584"	2040	"Cyprus"	"Total"	"Total"	"970,008"	NA	3
"585"	2045	"Cyprus"	"Total"	"Total"	"1,004,898"	NA	3
"586"	2050	"Cyprus"	"Total"	"Total"	"1,048,075"	NA	3
"587"	2055	"Cyprus"	"Total"	"Total"	"1,094,624"	NA	3
"588"	2060	"Cyprus"	"Total"	"Total"	"1,138,176"	NA	3
"589"	2015	"Latvia"	"Total"	"Total"	"1,986,000"	NA	3
"590"	2020	"Latvia"	"Total"	"Total"	"1,882,099"	NA	3
"591"	2025	"Latvia"	"Total"	"Total"	"1,760,809"	NA	3
"592"	2030	"Latvia"	"Total"	"Total"	"1,644,130"	NA	3
"593"	2035	"Latvia"	"Total"	"Total"	"1,565,329"	NA	3
"594"	2040	"Latvia"	"Total"	"Total"	"1,531,493"	NA	3
"595"	2045	"Latvia"	"Total"	"Total"	"1,505,179"	NA	3
"596"	2050	"Latvia"	"Total"	"Total"	"1,481,199"	NA	3
"597"	2055	"Latvia"	"Total"	"Total"	"1,457,042"	NA	3
"598"	2060	"Latvia"	"Total"	"Total"	"1,432,622"	NA	3
"599"	2015	"Lithuania"	"Total"	"Total"	"2,901,195"	NA	3
"600"	2020	"Lithuania"	"Total"	"Total"	"2,673,898"	NA	3
"601"	2025	"Lithuania"	"Total"	"Total"	"2,432,711"	NA	3
"602"	2030	"Lithuania"	"Total"	"Total"	"2,214,971"	NA	3
"603"	2035	"Lithuania"	"Total"	"Total"	"2,076,156"	NA	3
"604"	2040	"Lithuania"	"Total"	"Total"	"2,022,281"	NA	3
"605"	2045	"Lithuania"	"Total"	"Total"	"1,982,410"	NA	3
"606"	2050	"Lithuania"	"Total"	"Total"	"1,947,821"	NA	3
"607"	2055	"Lithuania"	"Total"	"Total"	"1,912,896"	NA	3
"608"	2060	"Lithuania"	"Total"	"Total"	"1,880,543"	NA	3
"609"	2015	"Luxembourg"	"Total"	"Total"	"562,866"	NA	3
"610"	2020	"Luxembourg"	"Total"	"Total"	"632,864"	NA	3
"611"	2025	"Luxembourg"	"Total"	"Total"	"708,783"	NA	3
"612"	2030	"Luxembourg"	"Total"	"Total"	"787,159"	NA	3
"613"	2035	"Luxembourg"	"Total"	"Total"	"864,708"	NA	3
"614"	2040	"Luxembourg"	"Total"	"Total"	"938,046"	NA	3
"615"	2045	"Luxembourg"	"Total"	"Total"	"1,004,414"	NA	3
"616"	2050	"Luxembourg"	"Total"	"Total"	"1,061,046"	NA	3
"617"	2055	"Luxembourg"	"Total"	"Total"	"1,109,428"	NA	3
"618"	2060	"Luxembourg"	"Total"	"Total"	"1,155,152"	NA	3
"619"	2015	"Hungary"	"Total"	"Total"	"9,863,705"	NA	3
"620"	2020	"Hungary"	"Total"	"Total"	"9,808,977"	NA	3
"621"	2025	"Hungary"	"Total"	"Total"	"9,770,865"	NA	3
"622"	2030	"Hungary"	"Total"	"Total"	"9,726,616"	NA	3
"623"	2035	"Hungary"	"Total"	"Total"	"9,675,141"	NA	3
"624"	2040	"Hungary"	"Total"	"Total"	"9,621,375"	NA	3
"625"	2045	"Hungary"	"Total"	"Total"	"9,570,968"	NA	3
"626"	2050	"Hungary"	"Total"	"Total"	"9,505,700"	NA	3
"627"	2055	"Hungary"	"Total"	"Total"	"9,441,509"	NA	3
"628"	2060	"Hungary"	"Total"	"Total"	"9,375,490"	NA	3
"629"	2015	"Malta"	"Total"	"Total"	"426,168"	NA	3
"630"	2020	"Malta"	"Total"	"Total"	"438,455"	NA	3
"631"	2025	"Malta"	"Total"	"Total"	"449,625"	NA	3
"632"	2030	"Malta"	"Total"	"Total"	"458,002"	NA	3
"633"	2035	"Malta"	"Total"	"Total"	"463,412"	NA	3
"634"	2040	"Malta"	"Total"	"Total"	"466,982"	NA	3
"635"	2045	"Malta"	"Total"	"Total"	"470,425"	NA	3
"636"	2050	"Malta"	"Total"	"Total"	"474,759"	NA	3
"637"	2055	"Malta"	"Total"	"Total"	"479,819"	NA	3
"638"	2060	"Malta"	"Total"	"Total"	"484,881"	NA	3
"639"	2015	"Netherlands"	"Total"	"Total"	"16,877,554"	NA	3
"640"	2020	"Netherlands"	"Total"	"Total"	"17,144,536"	NA	3
"641"	2025	"Netherlands"	"Total"	"Total"	"17,406,115"	NA	3
"642"	2030	"Netherlands"	"Total"	"Total"	"17,626,311"	NA	3
"643"	2035	"Netherlands"	"Total"	"Total"	"17,771,931"	NA	3
"644"	2040	"Netherlands"	"Total"	"Total"	"17,814,804"	NA	3
"645"	2045	"Netherlands"	"Total"	"Total"	"17,762,265"	NA	3
"646"	2050	"Netherlands"	"Total"	"Total"	"17,662,283"	NA	3
"647"	2055	"Netherlands"	"Total"	"Total"	"17,548,583"	NA	3
"648"	2060	"Netherlands"	"Total"	"Total"	"17,442,209"	NA	3
"649"	2015	"Austria"	"Total"	"Total"	"8,551,434"	NA	3
"650"	2020	"Austria"	"Total"	"Total"	"8,800,615"	NA	3
"651"	2025	"Austria"	"Total"	"Total"	"9,062,422"	NA	3
"652"	2030	"Austria"	"Total"	"Total"	"9,308,596"	NA	3
"653"	2035	"Austria"	"Total"	"Total"	"9,518,785"	NA	3
"654"	2040	"Austria"	"Total"	"Total"	"9,688,133"	NA	3
"655"	2045	"Austria"	"Total"	"Total"	"9,816,018"	NA	3
"656"	2050	"Austria"	"Total"	"Total"	"9,888,958"	NA	3
"657"	2055	"Austria"	"Total"	"Total"	"9,907,179"	NA	3
"658"	2060	"Austria"	"Total"	"Total"	"9,901,212"	NA	3
"659"	2015	"Poland"	"Total"	"Total"	"38,501,509"	NA	3
"660"	2020	"Poland"	"Total"	"Total"	"38,420,463"	NA	3
"661"	2025	"Poland"	"Total"	"Total"	"38,147,028"	NA	3
"662"	2030	"Poland"	"Total"	"Total"	"37,686,010"	NA	3
"663"	2035	"Poland"	"Total"	"Total"	"37,144,828"	NA	3
"664"	2040	"Poland"	"Total"	"Total"	"36,606,733"	NA	3
"665"	2045	"Poland"	"Total"	"Total"	"36,039,345"	NA	3
"666"	2050	"Poland"	"Total"	"Total"	"35,431,602"	NA	3
"667"	2055	"Poland"	"Total"	"Total"	"34,771,828"	NA	3
"668"	2060	"Poland"	"Total"	"Total"	"34,072,385"	NA	3
"669"	2015	"Portugal"	"Total"	"Total"	"10,368,006"	NA	3
"670"	2020	"Portugal"	"Total"	"Total"	"10,148,559"	NA	3
"671"	2025	"Portugal"	"Total"	"Total"	"9,980,063"	NA	3
"672"	2030	"Portugal"	"Total"	"Total"	"9,821,989"	NA	3
"673"	2035	"Portugal"	"Total"	"Total"	"9,660,666"	NA	3
"674"	2040	"Portugal"	"Total"	"Total"	"9,482,822"	NA	3
"675"	2045	"Portugal"	"Total"	"Total"	"9,272,745"	NA	3
"676"	2050	"Portugal"	"Total"	"Total"	"9,020,591"	NA	3
"677"	2055	"Portugal"	"Total"	"Total"	"8,737,977"	NA	3
"678"	2060	"Portugal"	"Total"	"Total"	"8,446,494"	NA	3
"679"	2015	"Romania"	"Total"	"Total"	"19,910,333"	NA	3
"680"	2020	"Romania"	"Total"	"Total"	"19,705,178"	NA	3
"681"	2025	"Romania"	"Total"	"Total"	"19,440,839"	NA	3
"682"	2030	"Romania"	"Total"	"Total"	"19,095,350"	NA	3
"683"	2035	"Romania"	"Total"	"Total"	"18,831,548"	NA	3
"684"	2040	"Romania"	"Total"	"Total"	"18,653,089"	NA	3
"685"	2045	"Romania"	"Total"	"Total"	"18,473,211"	NA	3
"686"	2050	"Romania"	"Total"	"Total"	"18,277,442"	NA	3
"687"	2055	"Romania"	"Total"	"Total"	"18,086,914"	NA	3
"688"	2060	"Romania"	"Total"	"Total"	"17,852,936"	NA	3
"689"	2015	"Slovenia"	"Total"	"Total"	"2,066,584"	NA	3
"690"	2020	"Slovenia"	"Total"	"Total"	"2,088,434"	NA	3
"691"	2025	"Slovenia"	"Total"	"Total"	"2,096,506"	NA	3
"692"	2030	"Slovenia"	"Total"	"Total"	"2,096,652"	NA	3
"693"	2035	"Slovenia"	"Total"	"Total"	"2,096,286"	NA	3
"694"	2040	"Slovenia"	"Total"	"Total"	"2,098,988"	NA	3
"695"	2045	"Slovenia"	"Total"	"Total"	"2,103,699"	NA	3
"696"	2050	"Slovenia"	"Total"	"Total"	"2,104,030"	NA	3
"697"	2055	"Slovenia"	"Total"	"Total"	"2,097,659"	NA	3
"698"	2060	"Slovenia"	"Total"	"Total"	"2,086,684"	NA	3
"699"	2015	"Slovakia"	"Total"	"Total"	"5,417,058"	NA	3
"700"	2020	"Slovakia"	"Total"	"Total"	"5,418,503"	NA	3
"701"	2025	"Slovakia"	"Total"	"Total"	"5,393,344"	NA	3
"702"	2030	"Slovakia"	"Total"	"Total"	"5,336,188"	NA	3
"703"	2035	"Slovakia"	"Total"	"Total"	"5,255,056"	NA	3
"704"	2040	"Slovakia"	"Total"	"Total"	"5,163,564"	NA	3
"705"	2045	"Slovakia"	"Total"	"Total"	"5,065,949"	NA	3
"706"	2050	"Slovakia"	"Total"	"Total"	"4,954,637"	NA	3
"707"	2055	"Slovakia"	"Total"	"Total"	"4,829,968"	NA	3
"708"	2060	"Slovakia"	"Total"	"Total"	"4,691,275"	NA	3
"709"	2015	"Finland"	"Total"	"Total"	"5,478,722"	NA	3
"710"	2020	"Finland"	"Total"	"Total"	"5,623,236"	NA	3
"711"	2025	"Finland"	"Total"	"Total"	"5,769,877"	NA	3
"712"	2030	"Finland"	"Total"	"Total"	"5,905,010"	NA	3
"713"	2035	"Finland"	"Total"	"Total"	"6,019,615"	NA	3
"714"	2040	"Finland"	"Total"	"Total"	"6,112,679"	NA	3
"715"	2045	"Finland"	"Total"	"Total"	"6,187,479"	NA	3
"716"	2050	"Finland"	"Total"	"Total"	"6,247,149"	NA	3
"717"	2055	"Finland"	"Total"	"Total"	"6,298,395"	NA	3
"718"	2060	"Finland"	"Total"	"Total"	"6,354,186"	NA	3
"719"	2015	"Sweden"	"Total"	"Total"	"9,722,052"	NA	3
"720"	2020	"Sweden"	"Total"	"Total"	"10,145,620"	NA	3
"721"	2025	"Sweden"	"Total"	"Total"	"10,602,932"	NA	3
"722"	2030	"Sweden"	"Total"	"Total"	"11,038,674"	NA	3
"723"	2035	"Sweden"	"Total"	"Total"	"11,440,112"	NA	3
"724"	2040	"Sweden"	"Total"	"Total"	"11,829,258"	NA	3
"725"	2045	"Sweden"	"Total"	"Total"	"12,217,688"	NA	3
"726"	2050	"Sweden"	"Total"	"Total"	"12,593,086"	NA	3
"727"	2055	"Sweden"	"Total"	"Total"	"12,941,236"	NA	3
"728"	2060	"Sweden"	"Total"	"Total"	"13,265,541"	NA	3
"729"	2015	"United Kingdom"	"Total"	"Total"	"64,645,847"	NA	3
"730"	2020	"United Kingdom"	"Total"	"Total"	"66,739,678"	NA	3
"731"	2025	"United Kingdom"	"Total"	"Total"	"68,782,697"	NA	3
"732"	2030	"United Kingdom"	"Total"	"Total"	"70,722,511"	NA	3
"733"	2035	"United Kingdom"	"Total"	"Total"	"72,569,451"	NA	3
"734"	2040	"United Kingdom"	"Total"	"Total"	"74,417,754"	NA	3
"735"	2045	"United Kingdom"	"Total"	"Total"	"76,304,106"	NA	3
"736"	2050	"United Kingdom"	"Total"	"Total"	"78,141,319"	NA	3
"737"	2055	"United Kingdom"	"Total"	"Total"	"79,819,710"	NA	3
"738"	2060	"United Kingdom"	"Total"	"Total"	"81,335,636"	NA	3
"739"	2015	"Iceland"	"Total"	"Total"	"328,580"	NA	3
"740"	2020	"Iceland"	"Total"	"Total"	"342,139"	NA	3
"741"	2025	"Iceland"	"Total"	"Total"	"355,110"	NA	3
"742"	2030	"Iceland"	"Total"	"Total"	"367,539"	NA	3
